artifact_id,name,type,owner,version,status,github_location,evidence,review_cycle,last_review
ART-CHARTER-001,Termo do Piloto,charter,PMO Agentico,v0.1,draft,pilot-charter.md,,per cycle,
ART-RACI-001,RACI do Piloto,governance,PMO Agentico,v0.1,draft,governance/raci.md,,per cycle,
ART-HITL-001,Politica HITL,governance,PMO Agentico,v0.1,draft,governance/hitl-policy.md,,monthly,
ART-DASH-001,Dashboard Executivo Inicial,dashboard,PMO Agentico,v0.1,draft,dashboards/executive-dashboard-spec.md,,per cycle,
ART-F2-001,Fase 2 Operational Deep Dive,methodology,PMO Lead,v1.0,draft,phase-2-operational-deep-dive.md,,per cycle,
ART-F2-DASH-001,Dashboard de Sucesso do Piloto,dashboard,Tech Lead,v1.0,draft,dashboards/pilot-success-dashboard/pilot-success-dashboard-spec.md,,per cycle,
ART-F2-REV-001,Agent Output Review Log,governance,PMO Lead,v1.0,draft,governance/agent-output-review-log.csv,,weekly,
ART-F3-001,Fase 3 Industrializacao Deep Dive,methodology,PMO Lead,v1.0,draft,phase-3-industrializacao-deep-dive.md,,per cycle,
ART-F3-REG-001,Register Factory,data governance,Tech Lead,v1.0,draft,data-contracts/README.md,,per cycle,
ART-F3-SLACK-001,Slack Cockpit Operating Toolkit,operating toolkit,PMO Lead,v1.0,draft,slack/channel-architecture.md,,per cycle,
ART-F3-HITL-001,Human Review Quality Gate,governance,AI Governance Lead,v1.0,draft,governance/human-review-quality-gate.md,,monthly,
ART-F3-QBR-001,QBR Value Report Template,executive report,PMO Lead,v1.0,draft,reports/qbr-value-report-template.md,,per cycle,
ART-F3-ROLL-001,Rollout Recommendation Template,rollout kit,PMO Lead,v1.0,draft,reports/rollout-recommendation-template.md,,per cycle,
ART-F4-001,Fase 4 Execution Deep Dive,methodology,PMO Lead,v1.0,draft,phase-4-execucao-controlada-deep-dive.md,,per setup,
ART-F4-MASTER-001,Prompt Mestre de Execucao Codex,codex runbook,PMO Lead,v1.0,draft,codex/master-execution-prompt.md,,per setup,
ART-F4-DATA-001,Dados Minimos Necessarios da Obra,intake,PMO Lead,v1.0,draft,docs/minimum-worksite-data.md,,per worksite,
ART-F4-QA-001,Checklist Pre-publicacao,governance,AI Governance Lead,v1.0,draft,governance/pre-publication-validation-checklist.md,,per output,
ART-F4-PLAN-001,Plano dos Proximos 10 Dias Uteis,execution plan,PMO Lead,v1.0,draft,docs/next-10-business-days-plan.md,,per setup,
ART-SPRINT1-001,Sprint 1 First Assisted Execution Runbook,codex runbook,PMO Lead,v1.0,draft,codex/sprint-1-first-assisted-execution.md,,per sprint,
ART-SPRINT11-001,Sprint 1.1 Stabilization Runbook,codex runbook,PMO Lead,v1.0,draft,codex/sprint-1-1-stabilization-cycle.md,,per sprint,
ART-SPRINT-PLAN-001,Sprint 1 and 1.1 Execution Plan,execution plan,PMO Lead,v1.0,draft,docs/sprint-1-and-1-1-execution-plan.md,,per sprint,
ART-SPRINT-LOG-001,Sprint Execution Log,register,PMO Lead,v1.0,draft,registers/sprint-execution-log.csv,,weekly,
ART-SPRINT-REV-001,Sprint Review Template,template,PMO Lead,v1.0,draft,templates/sprint-review-template.md,,per sprint,
